,Bill_No,Sponsor,did_it_pass,No. Cosponsors,dir_degree_centrality_sponsor,dir_pagerank_sponsor,dir_closeness_centrality_sponsor,dir_eigenvector_centrality_sponsor,dir_load_centrality_sponsor,dir_avg_degree_centrality_cosponsor,dir_avg_pagerank_cosponsor,dir_avg_closeness_centrality_cosponsor,dir_avg_eigenvector_centrality_cosponsor,dir_avg_load_centrality_cosponsor,und_degree_centrality_sponsor,und_pagerank_sponsor,und_closeness_centrality_sponsor,und_eigenvector_centrality_sponsor,und_load_centrality_sponsor,und_avg_degree_centrality_cosponsor,und_avg_pagerank_cosponsor,und_avg_closeness_centrality_cosponsor,und_avg_eigenvector_centrality_cosponsor,und_avg_load_centrality_cosponsor
2556,2699,"Sen. Brownback, Sam [R-KS]",not_passed,1,1.27,0.01395734940058,0.666666666666667,0.083534638788691,0.010143917342381,1.3,0.007993844557822,0.8,0.076732802558159,0.00747919464823,0.85,0.009802871735957,0.869565217391304,0.083062705136142,0.005379132466872,0.85,0.009414680984253,0.869565217391304,0.092529104814846,0.004619725594079
2606,2749,"Sen. Brownback, Sam [R-KS]",not_passed,2,1.27,0.014000993600578,0.666666666666667,0.082471917006113,0.009929268949592,0.955,0.009638371144593,0.627261286770489,0.046930404065308,0.008307769278739,0.85,0.009834246047346,0.869565217391304,0.082345892412257,0.005373847645947,0.71,0.008240616817551,0.775380176714552,0.066793860324303,0.003987846910299
2688,2833,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2689,2834,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2690,2835,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2691,2836,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2692,2837,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2693,2838,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2694,2839,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
2695,2840,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.27,0.013648352260978,0.666666666666667,0.080132841515522,0.010382821457771,0,0,0,0,0,0.85,0.009650247351181,0.869565217391304,0.079792127717252,0.005557521427709,0,0,0,0,0
